,location,In_autonomy,Description
54,3289 Mission St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on Mission street toward the intersection with 29th Street. As it approached the intersection, the Cruise AV began to brake in response to a red light when a Honda Civic traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear fascia and rear right sensor. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed."
55,1401 15th St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was turning from Southbound on Folsom Street to Westbound on 15th Street. When the Cruise AV stopped to yield for an oncoming vehicle, a Chevrolet Silverado that was traveling behind made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. At the time of the incident, the driver of the Cruise AV reported a minor injury, but emergency services were not called."
57,1798 Franklin St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling northbound on Franklin Street between Clay Street and Sacramento Street. As the Cruise AV passed through the intersection with Sacramento Street, a scooterist approaching from the rear merged into the Cruise AV's lane behind the Cruise AV. The Cruise AV began to brake, and the scooterist made contact with the rear window and rear bumper of the Cruise AV. This caused damage to the rear window, rear bumper and driver side rear headlight of the Cruise AV. The parties exchanged information. There were no injuries reported at the scene and police were not called. The scooterist later reported injuries."
58,1201 Guerrero St,1,"A Cruise autonomous vehicle, operating in autonomous mode, was traveling northbound on Guerrero Street. The Cruise AV was making a right turn onto 24th Street when a 2004 Toyota Sienna that was traveling straight on Guerrero made contact with the rear driver bumper of the Cruise AV. This caused damage to the rear driver bumper and wheel well of the Cruise AV. There were no injuries and police were not called."
61,2500 Clement St.,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Clement Street. As the Cruise  AV was in the intersection with 26th Avenue, a blue Toyota Matrix traveling northbound on 26th Avenue failed to yield and entered the  intersection. The Toyota made contact with the Cruise AV's front left bumper and damaged the bumper wheel and the wheel cover. After  the incident, the passenger in the Cruise AV reported minor shoulder soreness. There were no additional injuries reported and police were  not called."
62,3597 Mission St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound in the right lane oftraffic on Mission Street between Randall Street and Appleton Avenue. The Cruise AV stopped behind and to the left of a Hyundai Elantrathat was stopped beside the right curb of Mission Street. The driver was standing beside the Hyundai Elantra with the driver door open intothe lane of traffic. The Hyundai Elantra then rolled backwards at an angle and, shortly thereafter, made contact with the Cruise AV,damaging the front passenger door, rear passenger quarter panel, rear passenger bumper, and rear passenger wheel of the Cruise AV. Thedriver of the Hyundai Elantra left the scene without exchanging information. There were no injuries and a police report was later filed."
63,1500 McAllister St.,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on eastbound McAllister Street at the intersection with Scott Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear  bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no  injuries and police were not called."
64,700 Parnassus Ave,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a stop sign on westbound Parnassus Avenue at the intersection with 4th Avenue. After the Cruise AV began to proceed straight through the intersection, a Toyota FJ Cruiser traveling southbound on 4th Avenue approached a stop sign in its direction of travel at the intersection with Parnassus Avenue. The Toyota FJ Cruiser did not stop for its stop sign and, shortly thereafter, the Toyota FJ Cruiser entered the intersection and made contact with the Cruise AV as the Cruise AV was passing through the intersection, damaging the rear passenger quarter panel of the Cruise AV. The driver of the Toyota FJ Cruiser left the scene without exchanging information. There were no injuries and a police report was later filed."
65,1561 16th Ave,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound on 16th Avenue between Lomita Avenue and Lawton Street. At the same time, a red Honda Sedan traveling behind the Cruise AV maneuvered into the oncoming lane and increased speed as it attempted to pass the Cruise AV to the left. Shortly thereafter, contact was made with the Cruise AV's front driver side mirror, damaging the front driver side mirror of the Cruise AV. The driver of the red Honda Sedan left the scene without exchanging information. There were no injuries and a police report was later filed."
68,38 The Embarcadero S,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on The Embarcadero Street between Don Chee Way and Mission Street. At the same time, a Honda Accord began to merge into the Cruise AV's lane behind the Cruise AV. The Cruise AV braked and, shortly thereafter, the Honda Accord made contact with the Cruise AV, damaging the rear driver side bumper of the Cruise AV. The parties exchanged information and there were no reported injuries."
70,Potrero Ave. and 17th St.,1,"A Cruise autonomous vehicle (“Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn onto eastbound 17th Street from southbound Potrero Avenue when another vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV's right rear bumper bar and fascia. The Cruise AV test operator in the driver's seat reported back pain at the scene but did not request emergency assistance. The Cruise AV test operator sitting in the front passenger seat did not report any injuries at the scene, but later reported neck pain. Police were not called."
71,Turk St. and Steiner St.,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Turk Street through the intersection with Steiner Street when another vehicle encroached into the Cruise AV's lane from the right adjacent lane and made contact with the right side of the Cruise AV, damaging the Cruise AV's right front fender, right front door, and right rear door and the other vehicle's front left bumper and fender. There were no injuries and police were not called."
72,900 Steiner St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southbound on Steiner Street between McAllister Street and Fulton Street. The Cruise AV was traveling 24.4 mph upon entering the intersection with Fulton Street on a green light. As the Cruise AV continued through the intersection, a bicyclist traveling eastbound on Fulton Street failed to stop for their red light and entered the intersection. The Cruise AV was disengaged from autonomous mode and the Cruise AV operator braked to a speed of 8.7 mph and, shortly thereafter, the bicyclist made contact with the Cruise AV, damaging the front of the Cruise AV and the bicycle. The cyclist verbally reported they were okay. However, the Cruise AV Operator noticed minor injuries to the cyclict. Police and Emergency Medical Services were called, but the cyclist left the scene before the police or EMS arrived."
74,9th St and Folsom St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northwest bound on 9th Street near the intersection with Folsom Street in the right lane when it stopped due to traffic ahead in the intersection. Shortly thereafter, another vehicle made contact with the Cruise AV, damaging the Cruise AV's left rear bumper, wheel well, and tail lamp and the other vehicle's front right bumper, headlight, and fender. The Cruise AV test operator sitting in the front passenger seat reported back pain at the scene, but did not request emergency assistance. Police were not called."
75,700 Capp St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response a stop sign on northbound Capp Street at the intersection with 22nd Street. An SFPD 2016 Ford Explorer that was in front of the Cruise AV reversed from the intersection of Capp Street and 22nd Street and made contact with the Cruise AV's front bumper, damaging the front bumper. There were no injuries and the officer that struck the Cruise AV filed a police report."
77,Hyde St. and Sutter St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on southbound Hyde Street at the intersection with Sutter Street when another vehicle behind the Cruise AV attempted to change into the right adjacent lane and made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear radar and assembly. There were no injuries and police were not called."
78,2398 17 St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling westbound on 17th Street at the intersection with Potrero St., when the Cruise AV was struck by a 2007 Subaru Outback that crossed the centerline while driving eastbound on 17th Street. Immediately before the incident, the driver of the Cruise AV, seeing the oncoming vehicle crossing the centerline, disengaged from autonomous mode and brought the Cruise AV to a stop. The oncoming car made contact with the front driver side quarter panel of the Cruise AV, causing damage. There were no injuries, but the police were called. The driver of the 2007 Subaru Outback left the scene before the police arrived."
79,1128 Balboa St,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was traveling westbound on Balboa Street between 12th and Funston Avenues when the Cruise AV was struck by the door of a 2014 Honda Civic that was parked on Balboa facing west.  Contact was made at the front passenger side of the Cruise AV.  There were no injuries and police were not called."
83,Beach St. and The Embarcadero,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling eastbound in a channelized lane on Beach Street near the intersection with The Embarcadero when it stopped at the traffic light and another vehicle behind the Cruise AV made contact with its rear bumper. There were no injuries reported at the scene by either party and police were not called. The Cruise AV test operators sitting in the driver’s seat and in the backseat later mentioned back pain."
84,King St. between 2nd St. and 3rd St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was traveling southwest bound on King Street between 2nd and 3rd Streets when the Cruise AV slowed down. Shortly thereafter, another vehicle, changing into the Cruise AV’s lane from the right adjacent lane, made contact with the right rear corner of the Cruise AV, damaging the Cruise AV’s right rear fascia and a radar mounting bracket. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called."
87,1499 Vallejo St.,0,"A Cruise autonomous vehicle (“Cruise AV”) was involved in a collision while parked in conventional mode on the westbound side of Vallejo Street near the intersection with Polk Street. While the Cruise AV was parked parallel to the curb on the street, another vehicle traveling westbound on Vallejo in the left adjacent traffic lane sideswiped and made contact with the left side of the Cruise AV and the parked vehicle in front of the Cruise AV, damaging the Cruise AV’s driver’s side mirror, camera, articulating radar assembly, and doors. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called."
88,4485 17th St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a stop sign on westbound 17th Street at the intersection with Roosevelt Way. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper. There were no injuries and police were not called. The Cruise AV test operator later mentioned neck pain."
90,California St. and Hyde St.,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was making a right turn from eastbound California Street onto southbound Hyde Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and the rear center radars. There were no injuries reported at the scene by either party and police were not called. Days after the collision, the Cruise AV test operator sitting in the driver's seat reported injuries. [originally filed 12/4/2019, amended 12/16/2019]"
92,30th Avenue and California Street,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a 4-way stop on southbound 30th Avenue at the intersection with California Street when another vehicle made contact with the Cruise AV’s rear bumper, damaging the rear fascia and rear center radar assembly of the Cruise AV. There were no injuries and police were not called."
94,1774 Sacramento St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling westbound in the left lane on Sacramento Street between Polk Street and Van Ness Avenue. At the same time, a Honda Accord traveling in the right lane behind the Cruise AV increased speed and maneuvered across the AV's lane into the parking lane to the left of the Cruise AV in an attempt to pass the Cruise AV. The Honda Accord then began to merge back into the Cruise AV's lane. The Cruise AV braked, but shortly thereafter, contact was made with the Cruise AV's front left quarter panel and front driver side mirror, damaging the front driver side mirror of the Cruise AV. The driver of the Honda Accord left the scene without exchanging information. There were no reported injuries."
95,847 Divisadero St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound in the right lane on Divisadero Street between Fulton Street and McAllister Street. The Cruise AV approached an eighteen-wheeler that was stopped in the right lane of southbound Divisadero Street. The Cruise AV began to navigate around the eighteen-wheeler and stopped briefly as it was completing its passing maneuver. Shortly thereafter, a Dodge Charger approached the stopped Cruise AV in the left lane and attempted to pass the Cruise AV on the lefthand side. Contact was made with the Cruise AV, damaging the front left wheel, front left fender, front left bumper, and front driver side mirror of the Cruise AV. The driver of the  Dodge Charger left the scene without exchanging information. There were no injuries and the Cruise AV was towed from the incident."
96,Post St. and Leavenworth St.,1,"A Cruise autonomous vehicle (“Cruise AV”) operating in autonomous mode, was traveling northbound on Leavenworth Street at the intersection with Post Street when the Cruise AV yielded to a public transit bus changing into the Cruise AV’s lane from the right adjacent lane. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the left rear corner of the Cruise AV, damaging the Cruise AV’s left rear fascia and the other vehicle’s right front fascia. There were no injuries and police were not called."
102,198 10 St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on 10th Street between Howard Street and Mission Street. The Cruise AV was traveling 24.9 mph upon coming to the intersection with Howard Street on a green light. As the Cruise AV entered the intersection, a 2021 Range Rover was traveling the wrong way on a one-way section of Howard Street. The 2021 Range Rover was traveling eastbound on Howard Street and entered the intersection on a red light. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake while steering away from the approaching vehicle but, shortly thereafter, the 2021 Range Rover made contact with the Cruise AV, damaging the front right of the Cruise AV and the front left bumper of the 2021 Range Rover. The Cruise AV was traveling 11.2 mph at the time of contact. Police were called to the scene and no injuries were reported."
103,280 Potrero AV,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on Potrero Avenue between 15th Street and 16th Street. The Cruise AV approached the intersection with 16th Street as a Toyota Tundra traveling southbound on Potrero Avenue was making a right turn onto westbound 16th street. The Toyota Tundra was yielding for pedestrians and blocking the bike lane on southbound Potrero Avenue with Cyclist 1 and Cyclist 2 approaching. The Cruise AV braked for the two cyclists as Cyclist 3 traveling behind the Cruise AV veered left to avoid another vehicle pulling out of a curbside parking spot. Cyclist 3 then made contact with the right rear bumper of the Cruise AV, falling off their bike. Cyclist 3 reported minor injuries related to the incident and police were not called."
104,1002 Masonic Ave,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on southbound Masonic Avenue at the intersection with Oak Street. At the intersection, an Acura Sedan was stopped in front of the Cruise AV in the left southbound lane. To the right of the Cruise AV, was a BMW Sedan in the right southbound lane. In response to the green light, the Acura Sedan made a signaled left turn onto Oak Street as the BMW Sedan stayed parallel to the Cruise AV. As the Cruise AV entered the intersection, the BMW Sedan made a prohibited left turn from the right southbound lane on Masonic Avenue with no turn signal. The Cruise AV braked and, shortly thereafter, the BMW Sedan made contact with the Cruise AV, damaging the front right bumper of the Cruise AV. The driver of the BMW Sedan left the scene without exchanging information. There were no injuries and Cruise filed a police report on February 12, 2022."
106,1199 Polk St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was at a complete stop in response to a red light on northbound Polk Street at the intersection with Sutter Street. The Cruise AV began to proceed as the light turned green when an Infiniti Q50 passed the Cruise AV in the oncoming traffic lane and began performing “donuts” in the intersection. The Cruise AV began to initiate a left turn onto Sutter Street when the Infiniti Q50 made contact with the Cruise AV’s front driver side bumper, causing damage to the front driver side bumper, front driver side fascia and front driver side headlight. The driver of the Infiniti Q50 left the scene without exchanging information. There were no reported injuries and the Cruise AV was towed from the incident."
107,3001 16th St,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling eastbound in the rightmost lane on 16th Street between Mission Street and Wiese Street. Ahead of the Cruise AV, a delivery truck was double-parked in the rightmost lane of eastbound 16th Street. The Cruise AV began to maneuver around the double-parked vehicle by changing lanes. At the same time, a 2010 Honda Civic traveling behind the Cruise AV in the rightmost lane also began to maneuver and increase speed into the leftmost lane. Shortly thereafter, contact was made with the Cruise AV's side door, damaging the front driver side door and radar assembly. There were no reported injuries at the scene by either party and police were not called. The driver of the Honda Civic later claimed injuries related to the event."
108,499 25th Avenue,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound on 25th Avenue between Clement Street and Geary Boulevard. The Cruise AV entered the intersection with Geary Boulevard on a green light. As the Cruise AV was passing through the intersection, a Mercedes Sedan traveling eastbound on Geary Boulevard entered the intersection on a red light and shortly thereafter made contact with the Cruise AV, damaging the front right quarter of the Cruise AV. The Mercedes Sedan then made contact with a nearby building, resulting in damage to the property. Police and Emergency Medical Services were called to the scene. The Cruise AV was towed from the scene. Occupants of the Mercedes Sedan received medical treatment at the scene and were not transported by Emergency Medical Services."
110,1695 Polk Street,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling southbound on Polk Street near the intersection with Clay Street. Shortly after passing through the intersection with Clay Street, the Cruise AV made contact with a downed power cable stretching across Polk Street and came to a stop. This caused damage to the Cruise AV’s front fascia. There were no injuries. Cruise was informed by law enforcement to keep the Cruise AV stationary until the power cables were cleared. During the time that the power cable was being cleared and that the Cruise AV was stopped, the Cruise AV ran low on battery power and did not have enough power to return to Cruise facilities on its own. The Cruise AV was therefore towed from the scene once the power cables were cleared."
111,1258 Shafter Avenue,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling southbound on Shafter Avenue between Ingalls Street and Hawes Street. Shortly after the intersection with Ingalls Street, the Cruise AV made contact with a tow dolly attached to the back of a double-parked truck, damaging the front passenger side bumper and front passenger side fender of the Cruise AV. There were no reported injuries."
112,2654 Turk Boulevard,1,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling westbound on Turk Boulevard between Roselyn Terrace and Kittredge Terrace. The Cruise AV came to a complete stop for a vehicle in the process of letting passengers out that was stopped in the Cruise AV’s lane of travel. A Smart Car traveling behind the Cruise AV came to a complete stop behind the Cruise AV. A Honda Accord trailing behind the Smart Car began to decelerate but made contact with the Smart Car, pushing the Smart Car forward into the Cruise AV’s rear bumper. The parties exchanged information. There were no damages to the Cruise AV and there were no reported injuries."
113,1090 Point Lobos Avenue,1,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on Point LobosAvenue between 48th Avenue and Balboa Street. The Cruise AV was traveling downhill when a cyclist approached the Cruise AV frombehind. The Cruise AV began to brake, and shortly thereafter, the cyclist made contact with the rear window of the Cruise AV. The cyclistfell to the ground and sustained injuries. Police and Emergency Medical Services (EMS) were called. The cyclist was transferred fromthe scene via EMS. The impact caused damage to the rear passenger side of the bumper, rear hatch, and rear window of the Cruise AV."
